INO,Signal Name,Street 1,Street 2,FYA,Type,Latitude,Longitude,Miovision Camera,Camera,Layer 2 (Switch),Layer 3 (Router),Iteris Camera,Gridsmart Camera,ITS-Plus Camera,CCTV Camera,Walk Signal Phase,Walk Crossing Locations,Coordination Group,Coordination Corridor,Dual Left
1,Fordson Rd. & Parham Rd.,Fordson Rd.,Parham Rd.,FYA,Mast Arm,37.620834,-77.557744,,,Yes,,,,,,PH-4 -E/W Parham Rd.,SW-SE,1,Parham,
2,Bronwood Rd./Lawndell Rd. & Parham Rd.,Bronwood Rd./Lawndell Rd.,Parham Rd.,,Mast Arm,37.618449,-77.559789,,,Yes,,,,,,PH-4-E/W Parham Rd.,NW-NE,1,Parham,
3,Parham Rd. & Three Chopt Rd.,Parham Rd.,Three Chopt Rd.,,Mast Arm,37.611397,-77.563535,,,Yes,,,,,,,,1,Parham,
4,Fargo Rd. & Parham Rd.,Fargo Rd.,Parham Rd.,,Mast Arm,37.607368,-77.564679,,,Yes,,,,,,PH-4-WB Parham Rd.,NW-NE,1,Parham,
5,Parham Rd. & Ridge Shopping Ctr.,Parham Rd.,Ridge Shopping Ctr.,,Mast Arm,37.603931,-77.564416,,,Yes,,,,,,PH-4-WB Parham Rd.,NE-NW,1,Parham,
6,Parham Rd. & Quioccasin Rd.,Parham Rd.,Quioccasin Rd.,,Mast Arm,37.601766,-77.564014,,,Yes,,,,,,PH-3-EBParham Rd.,SE-SW,1,Parham,Yes
7,Holly Hill Rd. & Parham Rd.,Holly Hill Rd.,Parham Rd.,,Mast Arm,37.599555,-77.56407,,,Yes,,,,,,PH-4-E/W Parham Rd.,SW-SE,1,Parham,
8,Parham Rd. & Weldon Dr.,Parham Rd.,Weldon Dr.,,Mast Arm,37.596638,-77.565393,,,,Yes,,,,,PH-4-E/W Parham Rd.,NE-NW,1,Parham,
10,Parham Rd. & Ridge Rd.,Parham Rd.,Ridge Rd.,,Mast Arm,37.59233,-77.567379,,,Yes,,,,,,PH-4-WB Parham Rd.,NE-NW,1,Parham,
11,Quioccasin Rd. & Starling Dr.,Quioccasin Rd.,Starling Dr.,,Mast Arm,37.604456,-77.569056,Yes,,Yes,,,,,,PH-4-SB Quioccasin Rd.,NW-SW,1,Parham,
12,Eastridge Rd. & Three Chopt Rd.,Eastridge Rd.,Three Chopt Rd.,,Mast Arm,37.603224,-77.559246,Yes,Miovision,Yes,,,,,,PH-2-E/W Eastridge Rd.,NW-NE,1,Parham,Yes
13,Blue Jay La. & Quioccasin Rd.,Blue Jay La.,Quioccasin Rd.,FYA,Mast Arm,37.605641,-77.572265,,,Yes,,,,,,PH-4- N/S Quiccasin Rd.,NE-NW-SE-SW,1,Parham,
14,Skipwith Rd. & Three Chopt Rd.,Skipwith Rd.,Three Chopt Rd.,,Span Wire,37.597203,-77.537607,,,Yes,,,,,,,,16,Isolated,
15,Forest Ave. & Three Chopt Rd.,Forest Ave.,Three Chopt Rd.,,Mast Arm,37.599447,-77.545975,,,Yes,,,,,,,,16,Isolated,
16,Discovery Dr. & Forest Ave.,Discovery Dr.,Forest Ave.,,Mast Arm,37.603543,-77.544408,,,,Yes,,,,,PH-4-W/E  Forest Ave.,SW-SE,16,Isolated,
17,Forest Ave. & Glenside Dr.,Forest Ave.,Glenside Dr.,,Mast Arm,37.603401,-77.526272,,Iteris,Yes,,Yes,,,,PH-3-NB Glenside Dr.,SE-NE,16,Isolated,Yes
18,Horsepen Rd. & Monument Ave.,Horsepen Rd.,Monument Ave.,FYA,Mast Arm,37.59597,-77.53067,,,Yes,,,,,,,,7,Horsepen Rd,
19,Forest Ave. & Ridge Rd.,Forest Ave.,Ridge Rd.,,Span Wire,37.582386,-77.554939,,,,Yes,,,,,PH-4-E/W Forest Ave.,SW-SE,16,Isolated,
20,Ridge Rd. & River Rd.,Ridge Rd.,River Rd.,,Span Wire,37.5729,-77.551669,,,,Yes,,,,,PH-4-NB River Rd.,SW-NW,16,Isolated,
21,Bremo Road & Monument Ave.,Bremo Road,Monument Ave.,,Mast Arm,37.585133,-77.512517,,,,Yes,,,,,PH-4-N/S Monument Ave.,All corners,16,Isolated,
22,Libbie Ave. & Monument Ave.,Libbie Ave.,Monument Ave.,,Mast Arm,37.583685,-77.510082,Yes,,Yes,,,,,,PH-2-EB Libbie Ave.,SW-SE,16,Isolated,
23,Monument Ave. & Willow Lawn Dr.,Monument Ave.,Willow Lawn Dr.,,Mast Arm,37.578763,-77.501818,,,Yes,,,,,,PH-2-WB Willow Lawn Dr.,NW-NE,16,Isolated,
24,Markel Rd. & Willow Lawn Dr.,Markel Rd.,Willow Lawn Dr.,,Mast Arm,37.583186,-77.498227,,Iteris,Yes,,Yes,,,,PH-4-E/W Willow Lawn Dr.,NW-SE,16,Isolated,
25,Mayland Dr. & Parham Rd.,Mayland Dr.,Parham Rd.,,Mast Arm,37.625993,-77.55047,Yes,Miovision,,Yes,,,,,,,16,Isolated,
26,Parham Rd. & Skipwith Rd.,Parham Rd.,Skipwith Rd.,,Span Wire,37.629227,-77.539244,Yes,,,Yes,,,,,,,16,Isolated,
27,Hungary Spring Rd. & Parham Rd.,Hungary Spring Rd.,Parham Rd.,,Mast Arm,37.629664,-77.519256,Yes,Iteris,,Yes,Yes,,,,PH-2-EB Hungary Spring Rd.,SW-SE,16,Isolated,
28,Parham Rd. & Prince Henry Dr.,Parham Rd.,Prince Henry Dr.,,Mast Arm,37.629922,-77.514485,,,Yes,,,,,,PH-4-NB Parham Rd.,SE-NE,16,Isolated,
29,Parham Rd. & Woodman Rd.,Parham Rd.,Woodman Rd.,,Mast Arm,37.639934,-77.491289,,,Yes,,,,,,,,16,Isolated,
30,Hungary Rd. & Woodman Rd.,Hungary Rd.,Woodman Rd.,,Mast Arm,37.642341,-77.493966,,,,Yes,,,,,PH-8 WB Woodman Rd.,NE-NW,16,Isolated,
31,Dabney Rd. & Jacque St.,Dabney Rd.,Jacque St.,,Span Wire,37.578973,-77.481934,,,,Yes,,,,,,,16,Isolated,
32,Bethlehem Rd. & Dickens Rd.,Bethlehem Rd.,Dickens Rd.,,Mast Arm,37.601126,-77.503395,,,,Yes,,,,,PH-2-WB Bethlehem Rd.,SE-SW,16,Isolated,
34,Laburnum Ave. & Willson Rd.,Laburnum Ave.,Willson Rd.,,Yell Flash,37.477179,-77.364946,,,,,,,,,,,,,
35,Darbytown Rd. & Laburnum Ave.,Darbytown Rd.,Laburnum Ave.,,Mast Arm,37.482824,-77.357296,,,,Yes,,,,,,,16,Isolated,
36,Charles City Rd. & Laburnum Ave.,Charles City Rd.,Laburnum Ave.,,Mast Arm,37.503868,-77.349491,,Iteris,Yes,,Yes,,,,,,16,Isolated,
37,Gay Ave. & Laburnum Ave.,Gay Ave.,Laburnum Ave.,,Mast Arm,37.528973,-77.35806,,ITS-Plus,Yes,,,,Yes,,PH-2-NB Gay Ave.,NE-SE,10,Laburnum,
38,Colwyck Dr. & Laburnum Ave.,Colwyck Dr.,Laburnum Ave.,FYA,Span Wire,37.541838,-77.368481,,,,Yes,,,,,,,16,Isolated,
39,Creighton Rd. & Laburnum Ave.,Creighton Rd.,Laburnum Ave.,,Mast Arm,37.561579,-77.37562,Yes,Miovision,,Yes,,,,,,,15,N. Laburnum,
40,Austin Ave. & Laburnum Ave.,Austin Ave.,Laburnum Ave.,FYA,Mast Arm,37.579531,-77.402104,,,,Yes,,,,,PH-2-SB Austin Ave.,SE-NE,16,Isolated,
41,Carolina Ave. & Laburnum Ave.,Carolina Ave.,Laburnum Ave.,FYA,Mast Arm,37.585211,-77.414818,,Iteris,Yes,,Yes,,,,,,9,Laburnum at track,
42,Laburnum Ave. & Richmond-Henrico Tnpk,Laburnum Ave.,Richmond-Henrico Tnpk,,Mast Arm,37.585673,-77.423971,,,,Yes,,,,,PH-2-EB Rich-Hen Tnpk.,SW-SE,9,Laburnum at track,
43,Azalea Ave. & Richmond-Henrico Tnpk,Azalea Ave.,Richmond-Henrico Tnpk,FYA,Mast Arm,37.602587,-77.423615,,Gridsmart,Yes,,,Yes,,,,,8,Azalea,
44,Gayton Rd. & Pump Rd.,Gayton Rd.,Pump Rd.,,Mast Arm,37.607362,-77.606725,,,,Yes,,,,,PH-2 WB Pump Rd.,NW-NE,16,Isolated,
45,Horsepen Rd. & Three Chopt Rd.,Horsepen Rd.,Three Chopt Rd.,FYA,Mast Arm,37.594322,-77.53205,,,Yes,,,,,,,,7,Horsepen Rd,
46,Azalea Mall & Dumbarton Rd.,Azalea Mall,Dumbarton Rd.,,Mast Arm,37.601831,-77.455985,,Miovision,,Yes,,,,,,,16,Isolated,
47,Dumbarton Rd. & Hermitage Rd.,Dumbarton Rd.,Hermitage Rd.,,Mast Arm,37.603585,-77.471615,Yes,,Yes,,,,,,PH-4-EB Dumbarton Rd.,SW-SE,16,Isolated,
48,Dumbarton Rd. & Impala Dr.,Dumbarton Rd.,Impala Dr.,,Mast Arm,37.603661,-77.4856,Yes,,,Yes,,,,,,,16,Isolated,
49,Forest Ave. & Skipwith Rd.,Forest Ave.,Skipwith Rd.,FYA,Span Wire,37.604938,-77.537754,,,Yes,,,,,,PH-2-SB Forest Ave.,NW-SW,16,Isolated,
50,Hungary Spring Rd. & Skipwith Rd.,Hungary Spring Rd.,Skipwith Rd.,,Span Wire,37.620606,-77.538015,,,,Yes,,,,,,,16,Isolated,
51,Bethlehem Rd. & Glenside Dr.,Bethlehem Rd.,Glenside Dr.,,Mast Arm,37.610687,-77.513768,,,,,,,,,PH-2- SB Bethlehem Rd.,NW-SW,12,Glenside,
52,Glenside Dr. P&R & ,Glenside Dr. P&R,,,P & R Lot,37.614474,-77.501376,,,,,,,,,,,,,
53,Cloverdale St. & Glenside Dr.,Cloverdale St.,Glenside Dr.,FYA,Mast Arm,37.613521,-77.501391,,,,Yes,,,,,,,16,Isolated,
54,Mountain Rd. & Woodman Rd.,Mountain Rd.,Woodman Rd.,FYA,Mast Arm,37.66336,-77.486477,,,,Yes,,,,,,,16,Isolated,
55,Dickens Rd. & Falmouth St.,Dickens Rd.,Falmouth St.,,Mast Arm,37.60079,-77.507927,,,,,,,,,,,16,Isolated,
56,Parham Rd. & Shrader Rd.,Parham Rd.,Shrader Rd.,,Mast Arm,37.630774,-77.529567,,,,,,,,,PH-6-WB Shrader Rd,SW-SE,16,Isolated,
57,Finlay St. & Laburnum Ave.,Finlay St.,Laburnum Ave.,,Mast Arm,37.5215,-77.351789,,,,Yes,,,,,PH-2-NB Finlay St.,NE-SE,10,Laburnum,
58,River Rd. & Collegiate School,River Rd.,Collegiate School,,School,37.576885,-77.589428,,,,,,,,,,,,,
59,Glenside Dr. & Horsepen Rd.,Glenside Dr.,Horsepen Rd.,FYA,Mast Arm,37.597145,-77.529702,,,Yes,,,,,,,,7,Horsepen Rd,
60,Bayberry Ct. & Forest Ave.,Bayberry Ct.,Forest Ave.,,Mast Arm,37.605316,-77.530989,,,Yes,,,,,,,,16,Isolated,
61,Audubon Dr. & Laburnum Ave.,Audubon Dr.,Laburnum Ave.,,Mast Arm,37.523899,-77.352826,,Iteris,Yes,,Yes,,,,PH-2-NB Audubon Dr.,NE-SE,10,Laburnum,
62,Parham Rd. & Sanctuary Dr.,Parham Rd.,Sanctuary Dr.,,Mast Arm,37.638975,-77.469885,,,,Yes,,,,,,,4,Parham East,
63,Parham Rd. & Villa Park Dr./Cleveland St.,Parham Rd.,Villa Park Dr./Cleveland St.,FYA,Mast Arm,37.635446,-77.463589,,,Yes,,,,,,PH-2 Parham Rd.,NE-SE,4,Parham East,
64,Gaskins Rd. & Ridgefield Pkwy.,Gaskins Rd.,Ridgefield Pkwy.,FYA,Mast Arm,37.620534,-77.584444,,,Yes,,,,,,PH-4-EB Gaskins Rd.,SW-SE,14,Ridgefield,
65,Falconbridge Dr. & Ridgefield Pkwy.,Falconbridge Dr.,Ridgefield Pkwy.,FYA,Mast Arm,37.621816,-77.587473,,,,Yes,,,,,PH-4-NB Ridgefield Pkwy.,NE-SE,14,Ridgefield,
66,Flintwood Dr. & Ridgefield Pkwy.,Flintwood Dr.,Ridgefield Pkwy.,FYA,Mast Arm,37.624737,-77.594415,,,Yes,,,,,,PH-4-NB Ridgefield Pkwy.,SE-NE,14,Ridgefield,
67,Pump Rd. & Ridgefield Pkwy.,Pump Rd.,Ridgefield Pkwy.,FYA,Mast Arm,37.622248,-77.606367,,,,Yes,,,,,PH-2-NB Ridgefield Pkwy.,SW-NW,14,Ridgefield,
68,Gaskins Rd. & Three Chopt Rd.,Gaskins Rd.,Three Chopt Rd.,,Mast Arm,37.630799,-77.577632,Yes,Miovision,,Yes,,,,,,,16,Isolated,
69,Gaskins Rd. & Mayland Dr.,Gaskins Rd.,Mayland Dr.,,Mast Arm,37.640828,-77.570781,,,,Yes,,,,,,,16,Isolated,
70,Gayton Rd. & Raintree Dr./Chauncey La.,Gayton Rd.,Raintree Dr./Chauncey La.,FYA,Mast Arm,37.607121,-77.596417,,,,Yes,,,,,PH-8-NB Gayton Rd.,SE-NE,16,Isolated,
71,Gayton Rd. & Quioccasin Rd.,Gayton Rd.,Quioccasin Rd.,,Mast Arm,37.607216,-77.594741,,,Yes,,,,,,,,16,Isolated,
73,Camden Dr./Westbury Dr. & Three Chopt Rd.,Camden Dr./Westbury Dr.,Three Chopt Rd.,,Mast Arm,37.601806,-77.554621,Yes,Miovision,Yes,,,,,,PH-2-EB Camden Dr.,SW-SE,16,Isolated,
74,Gaskins Rd. P&R & ,Gaskins Rd. P&R,,,P & R Lot,37.639783,-77.573855,,,,,,,,,,,,,
75,Harvie Rd. & Laburnum Ave.,Harvie Rd.,Laburnum Ave.,,Mast Arm,37.571835,-77.382379,,,Yes,,,,,,,,15,N. Laburnum,
76,Eubank Rd. & Laburnum Ave.,Eubank Rd.,Laburnum Ave.,,Mast Arm,37.511542,-77.349606,,,,Yes,,,,,PH-4-E/W Laburnum Ave.,SW-SE,16,Isolated,
77,Hungary Rd. & West End Dr.            ,Hungary Rd.,West End Dr.            ,FYA,Mast Arm,37.649371,-77.540859,,,,,,,,,PH-3-N/S Hungary Rd.,NW-SW,16,Isolated,
78,Church Rd. & Lauderdale Dr.,Church Rd.,Lauderdale Dr.,FYA,Mast Arm,37.637146,-77.634063,,,,,,,,,PH-4-EB Lauderdale Dr.,SW-SE,13,Lauderdale,
81,Derbyshire Rd. & Parham Rd.,Derbyshire Rd.,Parham Rd.,,Mast Arm,37.588269,-77.572393,,Iteris,Yes,,Yes,,,,,,16,Isolated,
82,Glenside Dr. & Paragon Pl.,Glenside Dr.,Paragon Pl.,,Mast Arm,37.609689,-77.515959,,,,Yes,,,,,,,12,Glenside,
83,Parham Rd. & September Dr.,Parham Rd.,September Dr.,,Mast Arm,37.581956,-77.568909,,,,Yes,,,,,,,16,Isolated,
84,Cox Rd. & Nuckols Rd.,Cox Rd.,Nuckols Rd.,,Mast Arm,37.665146,-77.572952,,Iteris,Yes,,Yes,,,,,,3,Innsbrook,Yes
85,Cambridge Dr. & Gayton Rd.,Cambridge Dr.,Gayton Rd.,FYA,Mast Arm,37.614156,-77.637503,,,,Yes,,,,,,,16,Isolated,
86,Church Rd./Cox Rd. & Three Chopt Rd.,Church Rd./Cox Rd.,Three Chopt Rd.,,Mast Arm,37.639821,-77.588006,,,,Yes,,,,,,,16,Isolated,
87,Gaskins Rd. & Heritage Hill Dr.,Gaskins Rd.,Heritage Hill Dr.,,Mast Arm,37.607365,-77.59048,,,,Yes,,,,,,,16,Isolated,
88,Cambridge Dr. & Ridgefield Pkwy.,Cambridge Dr.,Ridgefield Pkwy.,FYA,Mast Arm,37.621768,-77.628773,,,Yes,,,,,,PH-4-N/S Ridgefield Pkwy.,SE-NE,14,Ridgefield,
89,Gayton Rd. & Ridgefield Pkwy.,Gayton Rd.,Ridgefield Pkwy.,,Mast Arm,37.623998,-77.638031,,,,,,,,,PH-2-NB Ridgefield Pkwy.,SE-NE,14,Ridgefield,
90,Parham Rd. & Starling Dr.,Parham Rd.,Starling Dr.,,Mast Arm,37.609204,-77.564141,,,Yes,,,,,,,,16,Isolated,
91,Derbyshire Rd. & Gaskins Rd.,Derbyshire Rd.,Gaskins Rd.,FYA,Mast Arm,37.592374,-77.598257,,,,Yes,,,,,PH-4- WB Gaskins Rd.,NE-NW,11,Gaskins,
92,Gaskins Rd. & River Rd.,Gaskins Rd.,River Rd.,,Mast Arm,37.583515,-77.603649,,,Yes,,,,,,PH-2- WB Gaskins Rd.,NW-NE,16,Isolated,
93,Laburnum Ave. & Seven Hills Blvd.,Laburnum Ave.,Seven Hills Blvd.,,Mast Arm,37.493198,-77.35292,,,,Yes,,,,,,,16,Isolated,
94,Lauderdale Dr. & Ridgefield Pkwy,Lauderdale Dr.,Ridgefield Pkwy,,Red Flash,37.624394,-77.643976,,,,,,,,,,,,,
95,Cox Rd. & Innslake Dr. (north),Cox Rd.,Innslake Dr. (north),,Mast Arm,37.65115,-77.581483,,,,Yes,,,,,,,16,Isolated,
96,Hungary Rd. & Hungary Spring Rd.,Hungary Rd.,Hungary Spring Rd.,FYA,Mast Arm,37.644962,-77.51616,,,,Yes,,,,,PH-4-N/S Hungary Rd.,SE-NE,16,Isolated,
97,Bremo Rd. & St. Mary's Hospital,Bremo Rd.,St. Mary's Hospital,,Ped Flash,37.583411,-77.512388,,,,,,,,,,,,,
98,Mill Rd. & Varina Rd.,Mill Rd.,Varina Rd.,,Red Flash,37.443492,-77.36904,,,,,,,,,,,,,
99,Byrdhill Rd. & Dumbarton Rd.,Byrdhill Rd.,Dumbarton Rd.,,Mast Arm,37.603596,-77.487412,Yes,,Yes,,,,,,,,16,Isolated,
100,Cedar Fork Rd. & Creighton Rd.,Cedar Fork Rd.,Creighton Rd.,FYA,Mast Arm,37.566142,-77.36017,,,,Yes,,,,,PH-6-WB Cedar Fork Rd.,NE-NW,16,Isolated,
101,Pump Rd. & Three Chopt Rd.,Pump Rd.,Three Chopt Rd.,,Mast Arm,37.646067,-77.615737,,,Yes,,,,,,PH-2-NB Three Chopt Rd.,SE-NE,16,Isolated,
102,Laburnum Ave. & Pilots La.,Laburnum Ave.,Pilots La.,,Span Wire,37.585109,-77.432992,,,Yes,,,,,,PH-2-WB Pilots Ln.,NE-NW,9,Laburnum at track,
103,Mayland Dr. & Tuckernuck Dr.,Mayland Dr.,Tuckernuck Dr.,,Mast Arm,37.631193,-77.556446,,,,Yes,,,,,PH-2-WB Tuckernuck Dr.,NE-NW,16,Isolated,
104,Highland Springs St. Lights & ,Highland Springs St. Lights,,,Street Light,37.550547,-77.352572,,,,,,,,,,,,,
