INO,Signal Name,Street 1,Street 2,FYA,Type,Latitude,Longitude,Miovision Camera,Camera,Layer 2 (Switch),Layer 3 (Router),Iteris Camera,Gridsmart Camera,ITS-Plus Camera,CCTV Camera,Walk Signal Phase,Walk Crossing Locations,Coordination Group,Coordination Corridor,Dual Left
105,Lakebrooke Dr./Sadler Rd. & Nuckols Rd.,Lakebrooke Dr./Sadler Rd.,Nuckols Rd.,,Mast Arm,37.666582,-77.576098,,,Yes,,,,,,,,3,Innsbrook,Yes
106,Cox Rd. & Waterfront Pl.,Cox Rd.,Waterfront Pl.,FYA,Mast Arm,37.657064,-77.576776,,,,Yes,,,,,PH-4 WB Cox Rd.,NW-NE,16,Isolated,
107,John Rolfe Pkwy. & Ridgefield Pkwy.,John Rolfe Pkwy.,Ridgefield Pkwy.,FYA,Mast Arm,37.620464,-77.623246,,,Yes,,,,,,PH-2 NB Ridgefield Pkwy,SE-NE,14,Ridgefield,Yes
108,Gayton Rd. & John Rolfe Pkwy.,Gayton Rd.,John Rolfe Pkwy.,FYA,Mast Arm,37.613021,-77.63188,,,,Yes,,,,,PH-2 EB John Rolfe Pkwy,SW-NW,16,Isolated,
109,Causeway Dr./Gayton Rd. & Lauderdale Dr.,Causeway Dr./Gayton Rd.,Lauderdale Dr.,FYA,Mast Arm,37.632144,-77.638442,,,,,,,,,,,13,Lauderdale,
110,John Rolfe Pkwy. & Lauderdale Dr.,John Rolfe Pkwy.,Lauderdale Dr.,,Mast Arm,37.610087,-77.634111,,,,,,,,,PH-2-WB John Rolfe Pkwy.,NE-NW,16,Isolated,
111,Francistown Rd. & Hungary Rd.,Francistown Rd.,Hungary Rd.,FYA,Mast Arm,37.649234,-77.547195,,,,Yes,,,,,PH-4-NB Hungary Rd.,NE-NW,16,Isolated,
112,Parham Rd. & J. Sargeant Reynolds,Parham Rd.,J. Sargeant Reynolds,FYA,Mast Arm,37.638701,-77.474985,,,Yes,,,,,,,,4,Parham East,
113,Nuckols Rd. & Snowmass Rd./Capital One,Nuckols Rd.,Snowmass Rd./Capital One,FYA,Mast Arm,37.663885,-77.568896,,Iteris,,,Yes,,,,PH-2 - Snowmass Rd.,SW-SE,3,Innsbrook,
114,Gayton Rd. & Steward School,Gayton Rd.,Steward School,,School,37.611036,-77.62241,,,,,,,,,,,,,
115,Nuckols Rd. & Twin Hickory Rd.,Nuckols Rd.,Twin Hickory Rd.,,Mast Arm,37.68125,-77.588772,,CCTV,,Yes,,,,Yes,PH-2-SB Twin Hickory Rd.,SW-NW,2,Nuckols Rd,Yes
116,Nuckols Rd. & Wyndham Forest Dr.,Nuckols Rd.,Wyndham Forest Dr.,,Mast Arm,37.683932,-77.589272,,,Yes,,,,,,PH-2-EB Old Nuckols Rd.,SE-SW,2,Nuckols Rd,
117,Cox Rd. & Westerre Pkwy.,Cox Rd.,Westerre Pkwy.,FYA,Mast Arm,37.644121,-77.584047,,Iteris,,Yes,Yes,,,,PH-3 EB Cox Rd,SW-SE,16,Isolated,
118,Memorial Dr. & Technology Blvd.,Memorial Dr.,Technology Blvd.,FYA,Mast Arm,37.499526,-77.259156,,,,Yes,,,,,,,16,Isolated,
119,Lauderdale Dr. & Three Chopt Rd.,Lauderdale Dr.,Three Chopt Rd.,,Mast Arm,37.650735,-77.623152,,,,Yes,,,,,PH-2-SB Three Chopt Rd.,NW-SW,13,Lauderdale,
120,Lauderdale Dr. & Park Terrace Dr.,Lauderdale Dr.,Park Terrace Dr.,,Mast Arm,37.645127,-77.627166,,,,,,,,,PH-2-SB Park Terrace Dr.,NW-SW,13,Lauderdale,
121,Lauderdale Dr. & N. Gayton Rd.,Lauderdale Dr.,N. Gayton Rd.,FYA,Mast Arm,37.64039,-77.631043,,,,Yes,,,,,PH-4-WB Lauderdale Dr.,NW-NE,13,Lauderdale,
122,Cox Rd. & Sadler Pl.,Cox Rd.,Sadler Pl.,FYA,Mast Arm,37.663467,-77.574191,,Iteris,,Yes,Yes,,,,,,3,Innsbrook,
125,Hungary Spring Rd. & Shrader Rd.,Hungary Spring Rd.,Shrader Rd.,FYA,Mast Arm,37.624189,-77.524437,,Iteris,Yes,,Yes,,,,PH-2-SB Shrader Rd.,NW-SW,16,Isolated,
126,Nuckols Rd. & Wyndham Park Dr.,Nuckols Rd.,Wyndham Park Dr.,,Mast Arm,37.691646,-77.607787,Yes,Miovision,Yes,,,,,,PH-2-EB Wyndham Park Dr.,SW-SE,2,Nuckols Rd,Yes
127,Twin Hickory Rd. & Twin Hickory Lake Dr.,Twin Hickory Rd.,Twin Hickory Lake Dr.,FYA,Mast Arm,37.673646,-77.59832,,,,Yes,,,,,PH-2-E Twin Hickory Lake,SW-SE,16,Isolated,
128,Ackley Ave. & Parham Rd.,Ackley Ave.,Parham Rd.,,Mast Arm,37.635271,-77.499958,,,,Yes,,,,,,,16,Isolated,
129,Audubon Dr. & Oakleys La.                                 ,Audubon Dr.,Oakleys La.                                 ,FYA,Mast Arm,37.525363,-77.343613,Yes,Miovision,,Yes,,,,,,,16,Isolated,
130,Parham Rd. & River Rd.,Parham Rd.,River Rd.,,Mast Arm,37.571225,-77.575381,,,,Yes,,,,,,,16,Isolated,
131,Gay Ave. & Masonic Ln./Brittles La.,Gay Ave.,Masonic Ln./Brittles La.,FYA,Mast Arm,37.525597,-77.37613,,,,Yes,,,,,,,16,Isolated,
132,Nuckols Rd. & Shady Grove Rd.,Nuckols Rd.,Shady Grove Rd.,FYA,Mast Arm,37.689412,-77.597562,,,Yes,,,,,,PH-2-EB Shady Grove Rd.,SW-SE,2,Nuckols Rd,
133,Mooreland Rd. & River Rd.,Mooreland Rd.,River Rd.,,Mast Arm,37.576885,-77.589425,Yes,Iteris,,Yes,Yes,,,,PH-3- ALL RED,NW-NE-SE,16,Isolated,
134,Derbyshire Rd. & Mooreland Rd,Derbyshire Rd.,Mooreland Rd,,Mast Arm,37.588295,-77.585619,,Iteris,,Yes,Yes,,,,,,16,Isolated,
135,Anoka Rd. & Skipwith Rd.,Anoka Rd.,Skipwith Rd.,,Mast Arm,37.610579,-77.537831,,,Yes,,,,,,,,16,Isolated,
136,Parham Rd. & Lydell Dr.,Parham Rd.,Lydell Dr.,FYA,Mast Arm,37.638409,-77.478724,Yes,Miovision,Yes,,,,,,,,4,Parham East,
137,Parham Rd. & Park Central Dr.,Parham Rd.,Park Central Dr.,FYA,Mast Arm,37.642065,-77.440468,,Iteris,,Yes,Yes,,,,,,16,Isolated,
138,Nuckols Rd. & Hickory Park Dr.,Nuckols Rd.,Hickory Park Dr.,,Mast Arm,37.678227,-77.585366,,,Yes,,,,,,PH-8- WB Nuckols Rd.,NE-NW,2,Nuckols Rd,Yes
139,Raintree Dr. & Ridgefield Pkwy,Raintree Dr.,Ridgefield Pkwy,FYA,Mast Arm,37.624788,-77.601144,,Iteris,Yes,,Yes,,,,PH-2-EB Raintree Dr.,SW-SE,14,Ridgefield,
140,Azalea Rd. & Wilkinson Rd.,Azalea Rd.,Wilkinson Rd.,FYA,Mast Arm,37.602973,-77.424766,,Gridsmart,,Yes,,Yes,,,PH-4-SB Azalea Rd,SE- NE,8,Azalea,
141,Hungary Spring Rd. & Olde West Drive,Hungary Spring Rd.,Olde West Drive,FYA,Mast Arm,37.636845,-77.517941,,Iteris,Yes,,Yes,,,,PH-2-SB Olde West Dr.,NW-SW,16,Isolated,
142,Laburnum Ave. & Jan Rd.,Laburnum Ave.,Jan Rd.,,Mast Arm,37.526851,-77.355762,,Iteris,Yes,,Yes,,,,PH-2- NB Jan Rd.,SE-NE,10,Laburnum,
143,Gayton Rd. & Ryandale Rd.,Gayton Rd.,Ryandale Rd.,,Mast Arm,37.61103,-77.622406,,,,Yes,,,,,PH-4-N/S Gayton Rd.,NW-SW,16,Isolated,
144,Ridgefield Pkwy & Glen Eagles Dr.,Ridgefield Pkwy,Glen Eagles Dr.,FYA,Mast Arm,37.619288,-77.613116,,,Yes,,,,,,PH-4-N/S Ridgefield Pkwy.,NW-SW,14,Ridgefield,
145,John Rolfe Pkwy. & Three Chopt Rd.,John Rolfe Pkwy.,Three Chopt Rd.,FYA,Mast Arm,37.644848,-77.61035,,,,Yes,,,,,PH-2-SB Three Chopt Rd.,NE-SE,6,John Rolfe Pkwy,Yes
146,John Rolfe Pkwy. & Pump Rd. - North,John Rolfe Pkwy.,Pump Rd. - North,FYA,Mast Arm,37.635515,-77.613128,,Iteris,Yes,,Yes,,,,PH-2-SB Pump Rd.,NW-SW,6,John Rolfe Pkwy,Yes
147,John Rolfe Pkwy. & Church Rd.,John Rolfe Pkwy.,Church Rd.,,Mast Arm,37.633062,-77.613037,,Iteris,Yes,,Yes,,,,PH-2-SB Pump Rd.,NE-SE,6,John Rolfe Pkwy,Yes
148,John Rolfe Pkwy. & Pump Rd. - South,John Rolfe Pkwy.,Pump Rd. - South,,Mast Arm,37.631747,-77.611391,,Iteris,Yes,,Yes,,,,PH-2-SB  John Rolfe Pkwy.,NW-SW,6,John Rolfe Pkwy,Yes
149,Nuckols Rd. & Concourse Blvd,Nuckols Rd.,Concourse Blvd,FYA,Mast Arm,37.687028,-77.591296,,,Yes,,,,,,PH-4-E/W Nuckols Rd.,NE-SE,2,Nuckols Rd,
150,N. Gayton Rd. & Blue Ocean La,N. Gayton Rd.,Blue Ocean La,FYA,Mast Arm,37.661108,-77.631119,,Iteris,,Yes,Yes,,,,PH-2-Blue Ocean,NE-SE,5,N. Gayton,
151,N. Gayton Rd. & Bacova Rd,N. Gayton Rd.,Bacova Rd,,Mast Arm,37.664245,-77.62905,,Iteris,Yes,,Yes,,,,PH-2-NB  Bacova Dr.,SE-NE,5,N. Gayton,
152,N. Gayton Rd. & Kain Rd,N. Gayton Rd.,Kain Rd,FYA,Mast Arm,37.670411,-77.623219,Yes,Miovision,Yes,,,,,,PH-2- NB Kain Rd.,SE-NE,5,N. Gayton,
153,Shady Grove Rd. & Twin Hickory Rd.,Shady Grove Rd.,Twin Hickory Rd.,FYA,Mast Arm,37.673292,-77.604,,,Yes,,,,,,PH-6-SB Shady Grove Rd.,NE-SE,16,Isolated,
154,John Rolfe Pkwy. & Liesfeld Pkwy,John Rolfe Pkwy.,Liesfeld Pkwy,FYA,Mast Arm,37.647694,-77.609017,,,,,,,,,PH-3- WB John Rolfe Pkwy,NE-NW,6,John Rolfe Pkwy,
155,Audubon Dr. & White Oak Village,Audubon Dr.,White Oak Village,,Mast Arm,37.525359,-77.350592,,Iteris,Yes,,Yes,,,,,,16,Isolated,
156,Gaskins Rd. & Castille Rd.,Gaskins Rd.,Castille Rd.,,Mast Arm,37.593521,-77.596897,,Iteris,Yes,,Yes,,,,,,11,Gaskins,
157,N. Gayton Street Lights & ,N. Gayton Street Lights,,,Street Light,37.656774,-77.634097,,,,,,,,,,,,,
158,Virginia Center Pkwy &  J.E.B Stuart Pkwy,Virginia Center Pkwy, J.E.B Stuart Pkwy,FYA,Mast Arm,37.665062,-77.455715,,,Yes,,,,,,,,16,Isolated,
159,Virginia Center Pkwy & Site Driveway,Virginia Center Pkwy,Site Driveway,FYA,Mast Arm,37.666023,-77.458091,,,,Yes,,,,,,,16,Isolated,
160,N.Gayton & Liesfeld Farm,N.Gayton,Liesfeld Farm,FYA,Mast Arm,37.667431,-77.626563,,,Yes,,,,,,PH-3-EB N.Gayton Rd.,SW-SE,5,N. Gayton,
161,Dabney Rd. & ,Dabney Rd.,,,Ped Flash,37.582367,-77.481489,,,,,,,,,,,,,
162,Quioccasin Rd. & Regency Mall,Quioccasin Rd.,Regency Mall,,Mast Arm,37.602776,-77.56622,,,Yes,,,,,,PH-2-WB Regency Mall,SE-SW,1,Parham,Yes
163,N.Gayton Rd. & Graham Meadows Dr.,N.Gayton Rd.,Graham Meadows Dr.,,Span Wire,37.65608,-77.634608,,Gridsmart,Yes,,,Yes,,,,,16,Isolated,
164,Laburnum Ave. & Kingsridge Pkwy.,Laburnum Ave.,Kingsridge Pkwy.,,,37.551639,-77.371467,,,Yes,,,,,,,,,,
165,Laburnum Ave. & Watts La.,Laburnum Ave.,Watts La.,FYA,Mast Arm,37.565797,-77.378141,,,Yes,,,,,,PH-2- SB Watts La.,NW-SW,15,N. Laburnum,
166,Greenwood Rd. & Old Washington Hwy.,Greenwood Rd.,Old Washington Hwy.,,Span Wire,37.688445,-77.499494,,Gridsmart,,Yes,,Yes,,,,,16,Isolated,
167,Buffin Rd. & New Market Rd.,Buffin Rd.,New Market Rd.,,Red Flash,37.442517,-77.346481,,,,,,,,,,,,,
168,Eubank Rd. & Lewis Rd.,Eubank Rd.,Lewis Rd.,,Red Flash,37.511677,-77.340633,,,,,,,,,,,,,
169,Parham Rd. & Homeview Dr.,Parham Rd.,Homeview Dr.,FYA,Span Wire,37.628767,-77.544905,,,Yes,,,,,,,,16,Isolated,
170,Dominion Blvd. & Innslake Dr.,Dominion Blvd.,Innslake Dr.,,Span Wire,37.651436,-77.58542,,Gridsmart,Yes,,,Yes,,,,,16,Isolated,
171,Three Chopt Rd. & Park Terrace Dr.,Three Chopt Rd.,Park Terrace Dr.,RRFB,Ped Flash,37.647256,-77.618565,,,,,,,,,,,,,
172,Twin Hickory Rd. & Hickory Bend,Twin Hickory Rd.,Hickory Bend,PHB,Hawk Ped,37.67614,-77.593345,,,,,,,,,,,,,
173,Church Rd. & Bell Tower La./ Thamesford,Church Rd.,Bell Tower La./ Thamesford,,Ped Flash,37.637018,-77.600846,,,,,,,,,,,,,
174,Francistown Rd. & Singletree La.,Francistown Rd.,Singletree La.,RRFB,Ped Flash,37.666941,-77.542865,,,,,,,,,,,,,
175,Francistown Rd. & Shimmering La.,Francistown Rd.,Shimmering La.,RRFB,Ped Flash,37.659677,-77.544855,,,,,,,,,,,,,
176,Austin Ave. & Byron St.,Austin Ave.,Byron St.,,Red Flash,37.575873,-77.403875,,,,,,,,,,,,,
177,Libbie Ave. & Fitzhugh Ave.,Libbie Ave.,Fitzhugh Ave.,RRFB,Ped Flash,37.5871,-77.506751,,,,,,,,,,,,,
178,Twin Hickory Lake Dr & Parsons Walk,Twin Hickory Lake Dr,Parsons Walk,,Ped Flash,37.662372,-77.607902,,,,,,,,,,,,,
179,Church Rd. & Glen Gary Dr.,Church Rd.,Glen Gary Dr.,,Ped Flash,37.635223,-77.630813,,,,,,,,,,,,,
180,Church Rd. & Waterford Way,Church Rd.,Waterford Way,,Ped Flash,37.633128,-77.625615,,,,,,,,,,,,,
181,Church Rd. & Retrievers Ridge Rd.,Church Rd.,Retrievers Ridge Rd.,,Ped Flash,37.631826,-77.620658,,,,,,,,,,,,,
182,Three Chopt Rd. & Bexhill Rd.,Three Chopt Rd.,Bexhill Rd.,,Ped Flash,37.602547,-77.557051,,,,,,,,,,,,,
183,Mill Rd. & Mill Place Dr.,Mill Rd.,Mill Place Dr.,,Ped Flash,37.67841,-77.524699,,,,,,,,,,,,,
184,Woodman Rd  & Magnolia Ridge Dr.,Woodman Rd ,Magnolia Ridge Dr.,RRFB,Ped Flash,37.674107,-77.466098,,,,,,,,,,,,,
185,Twin Hickory Lake Dr & Saddleridge Rd.,Twin Hickory Lake Dr,Saddleridge Rd.,RRFB,Ped Flash,37.671666,-77.597535,,,,,,,,,,,,,
186,Forest Ave. & University Blvd.,Forest Ave.,University Blvd.,RRFB,Ped Flash,37.588225,-77.55182,,,,,,,,,,,,,
187,Ridge Rd. & Glendale Dr.,Ridge Rd.,Glendale Dr.,RRFB,Ped Flash,37.588584,-77.563128,,,,,,,,,,,,,
188,Horsepen Rd. & Normandy Dr.,Horsepen Rd.,Normandy Dr.,RRFB,Ped Flash,37.593765,-77.533268,,,,,,,,,,,,,
189,Forest Ave. & Silversprings Dr.,Forest Ave.,Silversprings Dr.,RRFB,Ped Flash,37.583905,-77.554113,,,,,,,,,,,,,
190,N. Ridge & University Dr.,N. Ridge,University Dr.,,Ped Flash,37.576999,-77.55246,,,,,,,,,,,,,
191,Mountain Rd  & Courtney Rd,Mountain Rd ,Courtney Rd,,Ped Flash,37.671005,-77.518714,,,,,,,,,,,,,
192,Richmond-Henrico Tnpk & Lot J/ Amazon,Richmond-Henrico Tnpk,Lot J/ Amazon,FYA,Mast Arm,37.605289,-77.417615,,Gridsmart,,,,Yes,,,,,8,Azalea,
193,N. Gayton Rd. & Glastonbury Dr.,N. Gayton Rd.,Glastonbury Dr.,RRFB,Ped Flash,37.652824,-77.636854,,,,,,,,,,,,,
194,N. Gayton Rd.  & Ridgemere Dr,N. Gayton Rd. ,Ridgemere Dr,RRFB,Ped Flash,37.642103,-77.63317,,,,,,,,,,,,,
195,Church Rd  & Westek,Church Rd ,Westek,,Ped Flash,37.636438,-77.590838,,,,,,,,,,,,,
196,Derbyshire Rd. & Gaslight Dr,Derbyshire Rd.,Gaslight Dr,RRFB,Ped Flash,37.591366,-77.595693,,,,,,,,,,,,,
197,N. Ridge Rd & Holmes Ave,N. Ridge Rd,Holmes Ave,RRFB,Ped Flash,37.580557,-77.554491,,,,,,,,,,,,,
198,Laburnum Ave. & Olga Sauer Blvd,Laburnum Ave.,Olga Sauer Blvd,FYA,Mast Arm,37.486596,-77.35466,,Iteris,,,Yes,,,,,,16,Isolated,
199,Cedarfield Pkwy & Three Chopt Rd.,Cedarfield Pkwy,Three Chopt Rd.,FYA,Mast Arm,37.635019,-77.581873,Yes,Miovision,,,,,,,,,16,Isolated,
200,Wyndham Lake Dr  & Wyndham Lake Dr Trail,Wyndham Lake Dr ,Wyndham Lake Dr Trail,RRFB,Ped Flash,37.695321,-77.612441,,,,,,,,,,,,,
201,Azalea Ave. & Sandpiper Dr,Azalea Ave.,Sandpiper Dr,RRFB,Ped Flash,37.602598,-77.432996,,,,,,,,,,,,,
202,Westham Pkwy & Beechwood Dr,Westham Pkwy,Beechwood Dr,RRFB,Ped Flash,37.583804,-77.548362,,,,,,,,,,,,,
203,Staples Mills Rd  & Fire Station 20,Staples Mills Rd ,Fire Station 20,,Fire House,37.629507,-77.506549,,,,,,,,,,,,,
204,Rich-Hen Turnpike St lights & ,Rich-Hen Turnpike St lights,,,StreetLlights,37.602602,-77.423535,,,,,,,,,,,,,
205,Nine Mile Rd  & ,Nine Mile Rd ,,,Fire House,37.550547,-77.352572,,,,,,,,,,,,,
206,Cox Rd. & Village Run Dr,Cox Rd.,Village Run Dr,RRFB,Ped Flash,37.659966,-77.57465,,,,,,,,,,,,,
207,Woodman Rd  & Trevvett Dr,Woodman Rd ,Trevvett Dr,RRFB,Ped Flash,37.638421,-77.489591,,,,,,,,,,,,,
208,Liesfeld Farm Dr & Bacova Club Ct,Liesfeld Farm Dr,Bacova Club Ct,RRFB,Ped Flash,37.664261,-77.619962,,,,,,,,,,,,,
209,Old Prescott Rd & Pump Rd,Old Prescott Rd,Pump Rd,PHB,Hawk Ped,37.619686,-77.606495,,,,,,,,,,,,,
